,thread_name,init_post
10,Ever Herp So Hard That You Derped?,Just used the flight master’s whistle right next to the flightmaster. Then hearthed because I forgot why I came to the zone.
11,Your Lore Tinfoil Hat Theories,"I believe that the Nightborne joined the Horde not because Tyrande rejected them or because Liadrin befriended them, but because they were interested in… the Forsaken!Evidence:What about you? Do you have any Tinfoil Hat theories about WoW’s lore? "
12,Tidalcore is not a 100% drop from M+ LOL,"It’s my own fault, really. I don’t know what I expected from you Blizzard. You do so many obvious things to string people along. I don’t know why I thought this would be different. What a pain. Can we, just for once, have a system where you do x and get y? This is completely turning me off to your game."
13,We Need TBC/WotLK Server(s),Wow’s subscriptions peaked just at the end of WotLK just before Cataclysm launched.With Classic’s success there will be even more potential people that want to play TBC and WotLK again.A timeline and whether or not transfers would be allowed to a fresh server would help people decide how much time to invest in Classic.Until we know more I don’t really want to invest in more than one character. It’s far too much time to invest leveling a character that I may or may not use for years to come.
14,8.1 isn't enough,"I’ve explored the content on the PTR, heard and kept up with the latest news and changes. But let’s be honest here, it’s just not enough to reinvigorate this expansion.Blizzard seems keen to double down and attempt to make the mundane - the focal of this expansion. Look at world quests - they’ve added paragon rep, however, no mounts; Warfronts? New one - looks fun, but only for first time around, then let’s be honest again - you’ll all afk it. New Raid? Time-gated, won’t be out on release. Heritage Armour - amazing, however only 1 hour of content to complete both Dwarf and Blood Elf. Incurssions - were actually fun, however get boring quick, and will only be used to level alts. Leveling changes, massive improvement - don’t know why they had to nerf it in the first place. War Campaign? some cool lore bits, but it’s really not going to be sweeping content. Remastered bgs? Cool, but it’s still old content. Island Expo’s, yet again people generally don’t like doing these - they’re tedious. It took nearly double the time for this patch to come out in comparison to 7.1 in Legion - only to arguably deliver less in terms of content. This is unacceptable.TLDR; This patch will not be enough to get people to stay playing - return to playing, or even have people enjoy the game.Blizzard needs to do more - change existing system, and release meaningful content that isn’t just doubling down on content people already don’t want to do."
15,I think I'm done with the game,"I played classic hardcore all the way up to Naxx.I took 10+ years off to start my own business and family.And a few months ago, I had this itch to play again.  And I couldn’t shrug it off for weeks.  And I said myself… “should i?”And then came back in BFA and became a casual player mostly.And while BFA had its moments…There are certainly things to be desired.I felt like I tapped into every aspect of the game (besides raiding) and nothing really thrilled me anymore.Maybe in another 10+ years Ill be back.But for now,I am content on moving on.For the Horde my friends ALWAYS."
16,"I was told to ""let the developers know on the forums"" regarding the 25m EoE drop bug","Well here I am, hopefully its the right forum.Long story short, I was farming 25m Eye of Eternity for the azure drake like I always do while looking on the wowhead mount comments, found a few comments saying they got it after switching to 10m, I did and two blue drakes dropped in 5 runs, I haven’t seen one in 588 attempts so I got immediately suspicious, after some research I found out that both mounts haven’t drop at all in the last 23000 kills, from december 2018 to July 29 2019 when they fixed it.I made a ticket as well as a bug report on july 25 to explain the situation, hopefully to get it resolved and maybe get some compensation for the 588 attempts I’ve wasted.Every single blizzard representative kept ignoring the problem, explaining to me how RNG work and denying it even existed until you guys fixed it and I pointed the patch notes, the last person told me no compensation is being offered and to “let the developers know on the forum” if I feel something should be given. Not even a sorry for thinking you were an idiot or thanks for helping us get this fix.I’m not the type to complain or ask for compensation normally, but 588 attempts is a LOT and on top of that all my alts have been parked there for the past year preventing me from farming other mounts, I have never been disappointed that much in my WoW career to be honest, farming mounts is all I do and I feel robbed."
17,Retail vs Classic,"This entire spat over classic and retail reminds me of the franchise wars from Demolition Man. It’s absurd.I should get a badge, or a T-shirt.“I survived the great Classic clash of 2019, and all I got was this.”"
18,"Gnomes are food, not friends","My new 3D Render!This a comission for a friend, hope you like ot! still not lvl 3 "
19,Blizzard: Do Something Different Next Expansion!,"Fact:  The current expansion, Battle for Azeroth, is not really a new expansion.  It follows exactly the pattern of the last expansion, Legion.Legion:Level to max, unlock world quests, do emissary quests, with added fun of mission board, mythic plus and raids sprinkled in.  And there are invasions.  No flight.  Months later, get flight and a new zone, with no flight in new zone and new rep to grind etc. in new zone.Battle for Azeroth:Level to max, unlock world quests, do emissary quests, with added fun of mission board, mythic plus and raids sprinkled in. And there are invasions. No Flight.  A year later you get flight, but a new zone with no flight and new rep to grind, etc. in the new zone.Sure, they added in Island expeditions and those biweekly battles, but essentially this is exactly the same as last expansion.  This “expansion” is really just a patch to the last expansion.Blizzard:  With the next expansion follow a new format.Please do not have us hit max level and then do exactly the same thing:  emissary, mission board, invasions, no flight, sprinkling of mythic plus and raids, then a year later get flight and a new flightless zone.Do something original.Your current formula, clearly, does not work.Come up with some new ideas and make something fresh.The players demand it.edit:  And while you are at it, add in some new lore that is not just a rehash of current lore as pointed out by breakbeat in reply number 4 below.edit:  And of course you substitute “Azerite” for “Artifact” and it is the same basic flow.  As per post 24. (Dvis)edit:  As per Knewwshooter in reply 23, it might be 8.3 (not 8.2) that the new no fly zone is added, but again, it is the same exact flow as last expansion."
20,Why does the class wheel keep turning?,"Every expansion, Blizzard seems to redefine the classes - taking and adding abilities etc. Why do this? It seem like a waste of resources to me.What I would do is find a nice sweet spot in which the majority of the people really like their classes, do my best to balance those classes, then leave it be and focus my resources into generating new content or possibly making new classes. If there is a class that people are really not liking or is underperforming, then they can consider reworking that one class.I don’t get by Blizzard needs to constantly muck around with class abilities. Does anyone here actually enjoy constantly having to relearn their class every expansion?"
21,Method just went 6/8,"Just watched the fight live, was a blast!  Last 2 percent of the second boss with only 5 players left as the berserk timer kicked in and a kite/dps ending.Yeah yeah, I know no one cares - but it was a great fight. "
22,Blizzard is not prepared,"…for Classic launch. Just look at how well (ha!) the stress tests have been going. Unable to connect to the server, unable to create a character, massive lag, disconnecting every few seconds. Yes, I know this is what stress tests are for. The Classic hype is real though, with everyone and their brother wanting to try it. Calling it now, launch will be worse then WoD launch."
23,Show Your Pride with New Blood Elf and Dwarf Heritage Armor,"These armor sets and Tides of Vengeance are almost here!<span class=""info-number"">0</span><span class=""info-label"">voters</span>"
24,Please Add Rationale For Patch Notes/Hotfixes,Please take a huge step towards communicating effectively and help the player base see things through your eyes by adding rationale for changes.
25,The end of an era... a sad romance story!,"Once upon a time , I once did enchanting. Me and enchanting did everything together… it was my love and my life. It made me happy and feel powerful in the relationship I had with it…Then came the day BFA released. That was the big turning point in our relationship. He was no longer able to provide the edge and thrill I needed to continue.As blizzard added sangicells, my dear love became even more obsolete. Our love once had a tiny spark again once blizzard announced they would be adding more crafting stuff for sangicells and the newer raid mat for other professions.Then came the day I saw a new thing… I started to think about cheating on my love, with a thing called leatherworking.With the new raid mats able to provide me an edge and give me a thrill, I broke up with enchanting and took leatherworking…I still to this day partially regret doing what I did… but I know leatherworking will always be there to provide for me, when enchanting was unable to…I’m sorry enchanting, maybe one day you will be useful for me!"
26,Flying in wow,I cant fly in dreanor our leagon less I do path finder questsand I hate themso I want a gold option in game were I can pay like 10k for dreanor our 15k fr legionand if not I will not pay $35 for bfa and I encourage  others to do the sameif you want our money to buy  bfa then give us something in retrun for once
27,Im amazed at this patch,"With all time Blizz had to get this right and they came up with the most tedious boring repetitive rubbish in the history of wow.Man, i’d love to see their meetings and the rationale of the people who thinks this is the right way forward.I have all Sat and I just cant do it. I log on , stand in Mezzamere and wait for the inspiration that doesn’t come.  Then I log off and play Civ 5 deity and win with Spain + Freedom.Alas. So bad. So very bad… /hugs"
28,Azeroth autopilot sided with saurfang,I didn’t get to choose Sylvanas. Azeroth autopilot accepted the quest automatically and skipped the decision process. I wanted to kill the traitor Saurfang.Though zappyboi talking about his lightning was funny.
29,Why should I continue to raid?,"Aside from the obvious answers like raiding with friends, as an example… why should I?In the day and age where we have tools at our disposal like raidbots, simulationcraft, etc, knowing that most players will work towards their best possible stats, azerite traits, etc, and also knowing that you guys over there have the same access to information we do, then why am I scrapping drops that are quite literally 30+ item levels higher than what I have equipped? Why is it that raid armor has again, quite literally, the single worst combination of zaerite choices, yet if I get lucky on WoW’s version of kadala, I can then spend my life farming pearls and upgrading my gear?See, I main am BM hunter. Go head over to iceyveins and look at our current best in slot list compiled by the best theorycrafters in the game. Do you guys find this acceptable? All but a few pieces are upgraded benthic armor, because you’ve made our raid choices so absolutely horrible. We know what works, and so do you. Why give us useless pieces? Why force us into this endless benthic nonsense?If it wasn’t because I love the people I play this game with I’d give it up, because at this point I hate the fact that I am paying for such poor, lazy design."
30,I don't believe in a BiS essence,"Just as the title says, each one has its perks, but in my opinion they all look viable for whatever role you play. I think it’s more about what you feel you need more of.Take me as an example, I have no problem generating rage, so I wouldn’t go for the essence that helps me generate rage since I’m not really rage starved at any point in time; however crit chance will help me out a lot once I’ve used up my recklessness and siegebreaker, so I will take the Blood of the Enemy Essence. But I only chose Blood because I prefer to pvp more than I do pveing during my downtime, I could’ve easily chosen the essence that pushes spikes that does ticking fire damage and it wouldn’t have really mattered.I think it all depends on playstyle, and I feel that people succumb to the peer pressure of others to be forced into doing content they don’t want to do. While the ordeal is more personal, I feel that people who think there is a specific BiS essence take it too seriously. My suggestion for anyone falling under this pressure is you take it easy, and play the game out the way you want to. If you don’t want to pvp, consider the alternative that best works for you."
31,"GLYPHS, we need more GLYPHSSS","Seriously, though, like why aren’t there piles of glyphs floating around when they’d be so easy to implement? I just realized how wicked awesome GW is with the Heartsbane Grimoire toy, and it’s a big-time disappointment when it doesn’t work as soon as it’s cancelled once… That would be a wicked-cool glyph to have the option for… But seriously, there are piles of models floating around for damn near every class and spec, we should have options for them all, why not? Roll out a pile of new glyphs, I’m positive everybody would be thrilled about them."
32,Man’ari Eredar Allied Race,"Man’ari Eredar should join the Horde. They have been a major part of the story and deserve continuity. They have something in common with the Horde, an enemy with their blue Kin and now those Light Bound sycophants. Plus they’re red. What could make them more perfect? If you’re concerned about them being “hostile to everyone”, make a new faction. It’s not like they haven’t done it with everything else.The draw of the Horde in vanilla was they they were the swolliest of the swol but that hasn’t been true since TBC. With the Draenei model exclusive to the Alliance the Horde needs bigger badder barbarians. Make the Horde great again, give us Man’ari Eredar. Let us be the beasts we deserve to be.Alliance got the Blood Elf model, now it’s time for them to reciprocate."
33,Big chunky muscly chest is best thing,"Greetings my loyal subjects, I’m here to remind the good people of this zoo that having a big chest bring most joy in our hungry eyes.So all players that aren’t playing a race with big meaty chest are missing out big times and should race change to the superior chest race pool.Thanks and have a good day."
34,The reason why I'm leaving this game,I have played for years on and off. This game is basically a single player game anymore. I might come back and try wow classic. But everything now can be done playing alone. Set aside some raids. Not worth the fee or the time.It will never be same as it was years ago…And is not worth a monthly fee.
35,Enough is enough,Blizzard how could you possibly think that void stone is even an ounce of balanced in pvp? How is it over the past year you’ve clowns have managed to break pvp through 4 different trinkets?Seriously enough is enough. Stop being dumb blizzard. Blues relay this message to who ever is running yalls zoo.
36,Why do Alliance leaders never die?,Horde loses leaders left and right. Meanwhile Alliance leaders are immortal with their plot armor and deus ex machina powers.
37,Healers...ever see this?,"Ran Gnomerigan a while ago as resto shaman…the BEST heals in the game, in my opinion. Never seem to ever have issues when we have a shammy healer when Im tanking or running DPS.And god I love healing with it thru classic up thru MoP.Anyway, that first jump where youre supposed to grab a parachute. I know that sometimes they dont…they just exect the insta-heals when they flat line at the bottom.Well I didnt see any of the DPS or the tank even go near the parachute.I grabbed mine and dove off towards the big gear, as usual.By the time I landed, tankypoo was DOA, splatted flat like a squirrel under a car tire dead. One DPS was near dead and a blob musta killed him before I landed.So tank was dead on impact.One DPS was dead maybe two seconds after he hit.Third DPS was about 10% heath and the fourth was about 30% or so.This was pretty much how it was when I finally landed on the floor.And can you guess who took the blame for the two deaths and the near deaths because four players DIDNT grab a chute? "
38,My biggest hype for classic,Now first i have nothing against casuals.  Now thats out of the way.I am most excited to spend the grind time on my character and see other people who play more serious have the best of the best.  I’m excited because end game content will be able to be seen by the ones putting in work.If anyone else remember seen people in ironforge with epics like damn this dude must be good. Or knowing good tanks on the server because how well they did in groups.This is why i’m excited for the game.  Honestly the free loot got old for me.
39,Hey blizzard why not charge for xmogs in store like you do mounts people will by them,the title say it all if the was a cool sword xmog in the store id buy it.maybe its time for blizzard to sell in game xmogs in the store before anyone cries they got mounts in the store.you know people would by cosmetic items in the store blizzard.
40,Alliance Players Can Be High Elves Today,"Because of Volunteer Guard Day, Alliance players can go to Dalaran-Northrend and /salute the Silver Covenant Guardian Mages to become High Elves."
41,Really tired of being Lied to by Blizzard,"Stop going before your customers and saying shards where horde dominate 20 to 1 are rare. if they’re so rare, why is it that I never seem to find myself in one that isn’t? I want to see you shunting excess horde into empty shards because it’s the only thing you can actually do to fix this problem. don’t give me anymore of this BS of ‘oh horde shards are uncommon’ or ‘oh more horde do wm then alliance’ I literally don’t care. You have an extremely simple and easy solution to this problem, it’s time to ACT on it."
42,Why Doesnt WoW Have Cyrodiil?,"SO I just tried out ESO for the first time… It has Cyrodiil. Cyrodiil is what WoW is missing in the PvP department… WHy doesnt blizzard make their own version of this? a ever changing, complex, pvp/pve area that involves sieging bases, knocking down castle walls, and claiming territory? It would bring a lot of the PvP players back that left retail for its lack of engaging pvp! (oh and give us back pvp vendors!!)"
43,Zandalari and Kul Tirans pushed back even further?,"First it was supposed to be sometime after launch.Then after the first content patch.Then 8.1.5, and all you needed was exalted with their respective reps, according to what Ion said in one of the Q&amp;As.Now it’s 8.1.5, Tides of Vengeance war campaign, all questing zones completed for the respective factions, scenarios (for Horde it’s Blood Gate and Zandalar Forever).And if you’re not a raider, you’ll have to wait 'til LFR wings open up, as they’re needed for the final step of the war campaign, so that’s yet another pushback."
44,WoW built and carried the MMO market on its shoulders,"I see people citing WoW’s decline with excuses such as that the MMO market isn’t there anymore. It wasn’t there pre-WoW. What did people have pre-WoW; everquest? starwars galaxies? They didn’t hold a candle to what WoW became, not even close. If WoW hadn’t come along, the MMO market would’ve just been assumed to be that small. It would’ve been laughable to think there was a subscription MMO that could reach 12 million subs, because it was so unprecedented and so far from the norm. The only reason we know now that those numbers were ever possible is because WoW made it that way, and it wasn’t because there was some MMO market out there in the ether, it was that WoW was just that good that it built the market. It had a strong community that kept people coming back for. It had incentives for improving your character and improving yourself as a player.WoW doesn’t have what it had anymore, so the market it built is dwindling, although FF14 has been doing a decent job at stepping up. Right now, I believe WoW is simply piggybacking off the success of its previous iterations. If modern WoW’s model existed in 2008, I wouldn’t pretend it would reach the peaks it did.At the end of the day, WoW just isn’t really a game that bolsters a loyal fanbase anymore. It could be, but it isn’t."
45,We don’t need more classes,We really don’t.  There’s already too many classes in wow that do the same thing.You can’t keeo taking away stuff from specs to make new classes and thing you’ll be able to keep the game balanced.
46,Tauren only meeting,With Baine locked up I say we should go to Disney world until BFA is over. The Tauren no longer have a place in the Horde so we might as well enjoy our time off right now.
47,Hey! Where's my purple Lightforged Heritage Armor?!,C’mon! We’ve been waiting for these colorations! I want my Lightforged to look pretty in purple! 
48,_______ is Why People Are Leaving,"I see a lot of these topics.  RNG.  Class design.  This.  That.  The other thing.Truth is, I think, most of us would stay and pay and play if it was REALLY just one issue.  If it was just one big problem but everything else was awesome, most people would be able to find fun in the game.This development team has been wrecking WoW piece by piece for three expansions.  If Blizzard wants to save their flagship game, and the legacy and goodwill attached to it, they truly need to transfer this team to some other project and bring in developers who understand the whole MMORPG experience.  Not just endgame but the whole game.My two cents.  I just think it’s important to say that it really isn’t one problem driving people away.  It’s three expansions full of dumb decisions that have led us to this mess."
49,Night Elves are Entitled Edgelords,"They’re entitled, They’re generic dull blueberries, The Females are ugly, Tyrande is boring Mary Sue Poppins who is a jerk to Manduin, Their Night Warrior Eyes are ununique plus creepy, They have no White Skin nor Human Options in general, They ruined Alliance Identity of Pure Elves, plus stole the Thalassian Druids from Warcraft 2.I’m glad Nightborne are killing them. They probably should have been an Alliance race if Tyrande wasn’t being racist and entitled. I will blame them if they ruin any chance of original skin elf race into the faction as well. I hope Blizzard removes Night Elves off the Alliance Faction so that Alliance can finally have True Identity as Humans, Dwarves, Gnomes, and Pure White Elves than Blueberries, Grey Dwarves and other edgy entitled stuff."
50,I thought this was an MMO?,"No seriously, I don’ know about you guys but I just sat in my factions main city for an hour and didn’t see a single soul. The Massively Multiplayer aspect of WoW appears to be broken or to have been changed to Single Player Online.PS I’m not paying you 1k US$ to fix what you broke blizzard. Even if I could. I’m sorry it happened yes. But it is not my fault you made so much money in the past. Apparently you’re not concerned with continued income? This is going to make so many people quit if they did not already."
51,Rares Dying Too Fast,"People are killing rares as soon as they spawn. They are being extremely selfish. Blizzard, please make it so we can’t interact with the rares for 45 secs after they spawn."
52,Elixir of Tongues mostly being used for harassment in WPVP,I’m not sure how Blizzard thought adding this item and not disabling it in War Mode was a good thing. People are mostly using it to scream expletives and harass players of the opposite faction in PvP.
53,Blizz please start on the PreExpansion Event,"BFA’s pre expansion event was pretty forgettable.    I actually had to ask someone what it was to remember it.   The entire thing felt phoned in at the last minute and it set the tone for the rest of the expansion.    You can do better,  so do better."
54,Mythic Mechagon,"gotta be frank this Mythic only mechagon BS is just that BS. thought the same during legion with mythic Acrway (think that was it) but it didnt have 2 recipes in that were must have stuff. and this :know the fight or your bad"" crap aint helping.not everyone on this game (and its just a GAME not a life) can play 20~40 hours a week to be up to the elitist standards that is being forced on us now."
55,Biggest navy destroyed by a small group of ally,nice writing btw.
56,When will Blizz bend the knee?,My prediction for when Blizz bends the knee and starts to listen to player feedback is this coming Tuesday.But any other guesses are welcome!
57,Blizzard Patch Surprises: Let's Guess!,"Well, the patch is at hand.  And we have all read the patch notes.   Yes, they have announced they  are taking away are portals and other fun things.  But the real question is what kind of secret, tricksy, un-announced things they will do on the patch.My guesses?Mess up Pet Battles some more: They totally destroyed Pet Leveling last patch, so maybe they will Nerf our favorite pets.  (Hide your Iron Starlet’s and Direbeak Hatchlings!)Secret Nerfs: Maybe they will take away some favorite (remaining) ability.  (Hide your spellbooks and totems!)Mess with old world stuff.  I spend more time doing things in old content than new anymore.  It’s Fun.  Uh-Oh.  I said the F Word!  Blizzard’s fun detectors have been set off by old world content.  Certainly they will mess with it-and of course not tell us.Every patch comes with lots of unannounced  surprises!What are your guesses for the unannounced surprises of the patch?"
58,Classic wow will fail,Because BE are not a playable races.
59,Current Opinion on WoW,"As a player since vanilla I currently find it hard to enjoy my time playing WoW, I’m not making this post to complain. I’m making this post to see if anyone else is feeling this way as well as i can’t be the only one, and if so what new games are you guys playing? I don’t think its worth wasting my time literally trying my hardest to like a game rather then just enjoying it by playing it. It’s just unfortunate that the game went down this path in my opinion. "
